# Project Model First Edition
# VRPTW with Stages
# Data

#----------------SETS-----------------------

set N := 0 1 2 3 4 5 6 7 8 9;
set D := 1 2 3 4 5 6 7 8 9;
set K := 1 2;
set P := 1 2 3 4;
set T := 1 2 3;

#----------------PARAMETERS-----------------

param c := 0.2;
param F := 8;
param J := 0.1;
param Q := 8;
param s := 3;

param d : 1 2 3 4 :=
1 1 2 4 0
2 2 0 0 3
3 2 3 1 0
4 1 0 0 4
5 0 3 1 1
6 3 1 2 0
7 0 0 1 4
8 2 2 1 1
9 1 1 0 2;
param t : 0 1 2 3 4 5 6 7 8 9 :=
0 0 8 7 7 11 12 14 7 7 9
1 8 0 3 10 11 12 13 12 13 15
2 7 3 0 8 11 13 14 11 12 12
3 7 10 8 0 15 17 15 7 8 11
4 11 11 11 15 0 10 10 14 16 16
5 12 12 13 17 10 0 9 17 16 17
6 14 13 14 15 10 9 0 14 12 12
7 7 12 11 7 14 17 14 0 5 6
8 7 13 12 8 16 16 12 5 0 3
9 9 15 12 11 16 17 12 6 3 0;
param e := 1 60 2 120 3 180 4 240;
param l := 1 105 2 165 3 225 4 285;

param M1 := 4;
param M2 := 100;
param M3 := 60;
param M : 0 1 2 3 4 5 6 7 8 9 :=
0 65 65 65 65 65 65 65 65 65 65
1 65 65 65 65 65 65 65 65 65 65
2 65 65 65 65 65 65 65 65 65 65
3 65 65 65 65 65 65 65 65 65 65
4 65 65 65 65 65 65 65 65 65 65
5 65 65 65 65 65 65 65 65 65 65
6 65 65 65 65 65 65 65 65 65 65
7 65 65 65 65 65 65 65 65 65 65
8 65 65 65 65 65 65 65 65 65 65
9 65 65 65 65 65 65 65 65 65 65;
